box,ablation,final_rollout_mse_mean,final_rollout_mse_std,causal_violation_rate_mean,causal_violation_rate_std,interval_drift_mean,interval_drift_std,encoder_effective_rank_mean,encoder_effective_rank_std,metric,relative_improvement_mean,relative_improvement_median,wilcoxon_p
2.0,euclidean_latent_predictor,8905.50390625,0.0,0.635625,0.0,16.104089736938477,0.0,5.380182130918216,0.0,,,,
2.0,chronos_geometry_only,8917.7939453125,0.0,0.49375,0.0,16.110210418701172,0.0,5.369365260208485,0.0,,,,
2.0,chronos_causal_only,8917.7958984375,0.0,0.3846875,0.0,16.110212326049805,0.0,5.369361719483384,0.0,,,,
2.0,chronos_interval_only,8917.8154296875,0.0,0.3971875,0.0,16.110219955444336,0.0,5.3692331443018,0.0,,,,
2.0,chronos_full,8918.4072265625,0.0,0.4665625,0.0,16.112045288085938,0.0,5.42056237327803,0.0,,,,
2.0,chronos_geometry_only_vs_euclidean,,,,,,,,,final_rollout_mse,-0.0013800498199629879,-0.0013800498199629879,
2.0,chronos_geometry_only_vs_euclidean,,,,,,,,,causal_violation_rate,0.2232055063909959,0.2232055063909959,
2.0,chronos_geometry_only_vs_euclidean,,,,,,,,,interval_drift,-0.00038007002337149954,-0.00038007002337149954,
2.0,chronos_causal_only_vs_euclidean,,,,,,,,,final_rollout_mse,-0.0013802691365811782,-0.0013802691365811782,
2.0,chronos_causal_only_vs_euclidean,,,,,,,,,causal_violation_rate,0.394788593903017,0.394788593903017,
2.0,chronos_causal_only_vs_euclidean,,,,,,,,,interval_drift,-0.0003801884621447534,-0.0003801884621447534,
2.0,chronos_interval_only_vs_euclidean,,,,,,,,,final_rollout_mse,-0.001382462302763082,-0.001382462302763082,
2.0,chronos_interval_only_vs_euclidean,,,,,,,,,causal_violation_rate,0.3751229105205504,0.3751229105205504,
2.0,chronos_interval_only_vs_euclidean,,,,,,,,,interval_drift,-0.00038066221723776866,-0.00038066221723776866,
2.0,chronos_full_vs_euclidean,,,,,,,,,final_rollout_mse,-0.0014489152380747683,-0.0014489152380747683,
2.0,chronos_full_vs_euclidean,,,,,,,,,causal_violation_rate,0.2659783677478608,0.2659783677478608,
2.0,chronos_full_vs_euclidean,,,,,,,,,interval_drift,-0.0004940081232416717,-0.0004940081232416717,
32.0,euclidean_latent_predictor,2235685.5,0.0,0.6296875,0.0,4045.072509765625,0.0,9.323092484238488,0.0,,,,
32.0,chronos_geometry_only,2235877.75,0.0,0.490625,0.0,4045.20068359375,0.0,9.396530150748989,0.0,,,,
32.0,chronos_causal_only,2235877.75,0.0,0.383125,0.0,4045.20068359375,0.0,9.39652785785737,0.0,,,,
32.0,chronos_interval_only,2235878.25,0.0,0.3809375,0.0,4045.200927734375,0.0,9.396419845036686,0.0,,,,
32.0,chronos_full,2235887.25,0.0,0.446875,0.0,4045.24560546875,0.0,9.474644623372818,0.0,,,,
32.0,chronos_geometry_only_vs_euclidean,,,,,,,,,final_rollout_mse,-8.599152251065724e-05,-8.599152251065724e-05,
32.0,chronos_geometry_only_vs_euclidean,,,,,,,,,causal_violation_rate,0.22084367245622494,0.22084367245622494,
32.0,chronos_geometry_only_vs_euclidean,,,,,,,,,interval_drift,-3.1686410519357163e-05,-3.1686410519357163e-05,
32.0,chronos_causal_only_vs_euclidean,,,,,,,,,final_rollout_mse,-8.599152251065724e-05,-8.599152251065724e-05,
32.0,chronos_causal_only_vs_euclidean,,,,,,,,,causal_violation_rate,0.3915632754336213,0.3915632754336213,
32.0,chronos_causal_only_vs_euclidean,,,,,,,,,interval_drift,-3.1686410519357163e-05,-3.1686410519357163e-05,
32.0,chronos_interval_only_vs_euclidean,,,,,,,,,final_rollout_mse,-8.621516756270057e-05,-8.621516756270057e-05,
32.0,chronos_interval_only_vs_euclidean,,,,,,,,,causal_violation_rate,0.3950372208430451,0.3950372208430451,
32.0,chronos_interval_only_vs_euclidean,,,,,,,,,interval_drift,-3.174676558701308e-05,-3.174676558701308e-05,
32.0,chronos_full_vs_euclidean,,,,,,,,,final_rollout_mse,-9.024077849948037e-05,-9.024077849948037e-05,
32.0,chronos_full_vs_euclidean,,,,,,,,,causal_violation_rate,0.2903225806447002,0.2903225806447002,
32.0,chronos_full_vs_euclidean,,,,,,,,,interval_drift,-4.2791742968046146e-05,-4.2791742968046146e-05,
